Date,Open,High,Low,Close,Shares Traded,Turnover(₹ Cr)
01-Jan-18,5553.4,5585.3,5517.8,5532.5,752468526,4813.21
02-Jan-18,5556.75,5565.55,5439.15,5478.35,627068922,4493.47
03-Jan-18,5495.5,5530.3,5492.65,5513.05,478066477,4376.69
04-Jan-18,5536.35,5566.55,5509.35,5560.95,693729740,5540.18
05-Jan-18,5585.4,5640.75,5575.4,5635.7,688388960,5853.99
08-Jan-18,5665.1,5708.9,5659.1,5702.7,495384240,5315.18
09-Jan-18,5720.3,5722.5,5649.15,5671.7,341551856,4191.34
10-Jan-18,5681.15,5694.65,5601.2,5625.15,340239663,4129.17
11-Jan-18,5628.25,5679.75,5619.85,5660.95,356037511,4583.88
12-Jan-18,5685.2,5688,5578.2,5647.75,374886376,4586.9
15-Jan-18,5674.3,5684.65,5627.7,5641.05,385600555,4183.31
16-Jan-18,5647.8,5647.8,5490.15,5505.25,520611031,5139.74
17-Jan-18,5502,5560.7,5404.1,5554.9,554678502,4691.3
18-Jan-18,5605.05,5610.05,5384.5,5427.75,527984269,4916.77
19-Jan-18,5436.25,5479.1,5398.95,5469.55,373956858,4324.04
22-Jan-18,5467.9,5514.75,5446.9,5510.8,247199490,3660.9
23-Jan-18,5529.85,5588.1,5520.1,5573.4,460662565,5880.29
24-Jan-18,5564.45,5573.75,5508.2,5530.95,293038890,4622.15
25-Jan-18,5540.25,5551.35,5463.3,5468.65,412219058,6373.55
29-Jan-18,5490.9,5505.15,5426.8,5437.35,296370869,3999.88
30-Jan-18,5426.9,5436,5381.6,5410.6,492430864,4505.09
31-Jan-18,5405.45,5420.25,5310.7,5353.95,310735554,4333.79
01-Feb-18,5363.5,5389.25,5243.7,5350.05,326409477,4149.36
02-Feb-18,5290.8,5290.85,5029.2,5065.85,573847863,9307.3
05-Feb-18,4951.45,5104.6,4899.8,5084.2,405255072,6393.63
06-Feb-18,4831,5074.15,4787.9,5009.4,358612784,5288.57
07-Feb-18,5096.15,5115.8,5026.35,5041.85,304447824,4323.17
08-Feb-18,5067.05,5179.65,5059.5,5171.95,305388918,4498.99
09-Feb-18,5065.75,5193.9,5061.2,5172.05,279025816,3546.32
12-Feb-18,5216,5272.85,5208.3,5257.4,273227392,3525.15
14-Feb-18,5295.5,5308.85,5237.1,5254.75,360241157,4045.69
15-Feb-18,5268.95,5273.95,5165.75,5200.4,279841795,3751.93
16-Feb-18,5223.1,5243.15,5116.3,5131.25,260806788,3721.17
19-Feb-18,5137.8,5140.5,5018.2,5071.7,280340995,3804.55
20-Feb-18,5071.8,5106.5,5045.9,5065.35,240420970,3619.87
21-Feb-18,5088.45,5095.5,5033.3,5077.6,219953166,3426.8
22-Feb-18,5057.35,5084.7,5045.9,5052.95,308193307,4917.51
23-Feb-18,5082.3,5191.6,5075.65,5185.65,250914388,4138.51
26-Feb-18,5217.75,5246.25,5186.3,5233.55,354639592,4228.69
27-Feb-18,5254.55,5259.9,5186.35,5195.7,263611525,3497.58
28-Feb-18,5159.7,5212.15,5130.35,5192.95,300480134,4102.17
01-Mar-18,5185.1,5225.7,5154.1,5162.7,274113495,3826.22
05-Mar-18,5158.7,5158.7,5074.6,5106.1,334849327,4470.66
06-Mar-18,5137.6,5162.45,5026.25,5046.05,365462553,4720.82
07-Mar-18,5034.4,5036.4,4943.55,4953.6,389727799,4643.55
08-Mar-18,4993.15,5008.4,4898.05,4996.7,382913798,4415.9
09-Mar-18,5022,5025.2,4944.35,4959.85,330453516,3697.13
12-Mar-18,5002.25,5012.7,4932.8,5007.1,345748757,3860.18
13-Mar-18,5004.55,5089.15,4995.2,5057,431121705,5626.1
14-Mar-18,5029.9,5088.55,5024.25,5080.8,386160745,4684.21
15-Mar-18,5084.25,5126.45,5077.2,5090.9,329966984,4338.95
16-Mar-18,5092.65,5108.75,5026.35,5037,366329267,4616.12
19-Mar-18,5046,5054.25,4927.45,4942.2,284765165,3683.3
20-Mar-18,4909.35,4978.35,4889.4,4966.1,281398076,4148.02
21-Mar-18,4993.7,5027.75,4960.65,4969.95,330514571,3784.07
22-Mar-18,4979.25,4984.75,4912.25,4922.7,313265867,3293.15
23-Mar-18,4828.25,4849.75,4795.1,4842.8,338791333,3780.51
26-Mar-18,4838,4941.65,4809.5,4930.95,321698730,3792.55
27-Mar-18,4970.35,5028.25,4968.95,5013.5,304520284,4379.53
28-Mar-18,4986.6,4997.6,4963.3,4975.3,368922705,4521.89
02-Apr-18,4999.45,5080.1,4991.95,5078.1,,
03-Apr-18,5070.5,5144.35,5068.4,5141.35,205469801,3492.07
04-Apr-18,5170.85,5195.6,5075.65,5084.2,278604368,4205.78
05-Apr-18,5148.3,5216.1,5147.45,5210.4,226409035,3902.83
06-Apr-18,5216.35,5253.1,5193.4,5246.6,307550662,4032.39
09-Apr-18,5261.95,5297.65,5258.85,5276.65,230011083,3809.15
10-Apr-18,5301.25,5313.05,5263.5,5290.35,228990018,3779.78
11-Apr-18,5308.8,5309.2,5252.05,5288.4,206504593,3080.95
12-Apr-18,5289.65,5310.95,5259.5,5280.5,261279818,3648.51
13-Apr-18,5303.45,5342.5,5295.7,5329.15,216080570,3919.43
16-Apr-18,5298.75,5379.15,5287.05,5375.8,190485711,3640.85
17-Apr-18,5393.8,5399.05,5350.3,5376.3,166556025,3727.32
