Date,Open,High,Low,Close,Volume
01-02-2019,38.72,39.71,38.56,39.48,"14,81,58,952"
01-03-2019,36,36.43,35.5,35.55,"36,52,48,812"
01-04-2019,36.13,37.14,35.95,37.07,"23,44,28,280"
01-07-2019,37.18,37.21,36.48,36.98,"21,91,11,048"
01-08-2019,37.39,37.96,37.13,37.69,"16,41,01,248"
01-09-2019,37.82,38.63,37.41,38.33,"18,03,96,312"
01-10-2019,38.13,38.49,37.72,38.45,"14,31,22,688"
01-11-2019,38.22,38.43,37.88,38.07,"10,80,92,960"
01/14/2019,37.71,37.82,37.31,37.5,"12,97,56,756"
01/15/2019,37.57,38.35,37.51,38.27,"11,48,41,280"
01/16/2019,38.27,38.97,38.25,38.74,"12,22,78,844"
01/17/2019,38.55,39.42,38.32,38.97,"11,92,84,640"
01/18/2019,39.38,39.47,39,39.21,"13,50,04,080"
01/22/2019,39.1,39.18,38.16,38.33,"12,15,75,884"
01/23/2019,38.54,38.79,37.93,38.48,"9,25,22,280"
01/24/2019,38.53,38.62,37.94,38.18,"10,17,66,204"
01/25/2019,38.87,39.53,38.58,39.44,"13,41,91,564"
01/28/2019,38.95,39.08,38.42,39.08,"10,47,68,244"
01/29/2019,39.06,39.53,38.53,38.67,"16,63,48,952"
01/30/2019,40.81,41.54,40.06,41.31,"24,44,39,124"
01/31/2019,41.53,42.25,41.14,41.61,"16,29,58,592"
02-01-2019,41.74,42.25,41.48,41.63,"13,06,72,564"
02-04-2019,41.85,42.91,41.82,42.81,"12,59,82,320"
02-05-2019,43.22,43.77,43.09,43.55,"14,44,06,532"
02-06-2019,43.66,43.89,43.21,43.56,"11,29,58,360"
02-07-2019,43.1,43.49,42.59,42.74,"12,69,66,756"
02-08-2019,42.25,42.67,42.11,42.6,"9,52,79,884"
02-11-2019,42.76,42.8,42.31,42.36,"8,39,73,720"
02-12-2019,42.53,42.75,42.43,42.72,"8,91,34,080"
02/13/2019,42.85,43.12,42.48,42.55,"8,99,60,920"
02/14/2019,42.43,42.82,42.35,42.7,"8,73,43,000"
02/15/2019,42.81,42.93,42.44,42.61,"9,85,07,244"
02/19/2019,42.43,42.86,42.37,42.73,"7,58,91,320"
02/20/2019,42.8,43.33,42.75,43.01,"10,44,57,436"
02/21/2019,42.95,43.09,42.58,42.77,"6,89,98,680"
02/22/2019,42.9,43.25,42.85,43.24,"7,56,52,600"
02/25/2019,43.54,43.97,43.49,43.56,"8,74,93,436"
02/26/2019,43.43,43.83,43.29,43.58,"6,82,80,844"
02/27/2019,43.3,43.75,43.18,43.72,"11,13,41,564"
02/28/2019,43.58,43.73,43.23,43.29,"11,28,61,680"
03-01-2019,43.57,43.79,43.22,43.74,"10,35,44,680"
03-04-2019,43.92,44.44,43.49,43.96,"10,97,44,796"
03-05-2019,43.99,44,43.64,43.88,"7,89,49,680"
03-06-2019,43.67,43.87,43.49,43.63,"8,32,41,524"
03-07-2019,43.47,43.61,43.01,43.13,"9,91,85,476"
03-08-2019,42.58,43.27,42.38,43.23,"9,59,97,436"
03-11-2019,43.87,44.78,43.84,44.73,"12,80,44,116"
03-12-2019,45,45.67,44.84,45.23,"12,98,70,320"
03/13/2019,45.56,45.83,45.23,45.43,"12,41,30,080"
03/14/2019,45.98,46.03,45.64,45.93,"9,43,18,040"
03/15/2019,46.21,46.83,45.94,46.53,"15,61,71,640"
03/18/2019,46.45,47.1,46.45,47.01,"10,48,79,320"
03/19/2019,47.09,47.25,46.48,46.63,"12,65,85,476"
03/20/2019,46.56,47.37,46.18,47.04,"12,41,40,920"
03/21/2019,47.51,49.08,47.45,48.77,"20,41,36,952"
03/22/2019,48.84,49.42,47.7,47.76,"16,96,30,688"
03/25/2019,47.88,48,46.65,47.19,"17,53,81,156"
03/26/2019,47.92,48.22,46.15,46.7,"19,92,02,156"
03/27/2019,47.19,47.44,46.64,47.12,"11,93,93,720"
03/28/2019,47.24,47.39,46.88,47.18,"8,31,21,436"
03/29/2019,47.46,47.52,47.14,47.49,"9,42,55,844"
04-01-2019,47.91,47.92,47.1,47.81,"11,14,47,844"
04-02-2019,47.77,48.62,47.76,48.51,"9,10,62,920"
04-03-2019,48.31,49.13,48.29,48.84,"9,30,87,320"
04-04-2019,48.7,49.09,48.29,48.92,"7,64,57,116"
04-05-2019,49.11,49.28,48.98,49.25,"7,41,06,564"
04-08-2019,49.11,50.06,49.09,50.03,"10,35,26,796"
04-09-2019,50.08,50.71,49.81,49.88,"14,30,72,952"
04-10-2019,49.67,50.19,49.55,50.16,"8,67,81,156"
04-11-2019,50.21,50.25,49.61,49.74,"8,36,03,244"
04-12-2019,49.8,50.04,49.05,49.72,"11,10,42,680"
04/15/2019,49.65,49.96,49.5,49.81,"7,01,46,600"
04/16/2019,49.87,50.34,49.64,49.81,"10,27,85,564"
04/17/2019,49.89,50.85,49.65,50.78,"11,56,27,116"
04/18/2019,50.78,51.04,50.63,50.97,"9,67,83,080"
04/22/2019,50.71,51.24,50.59,51.13,"7,77,58,204"
04/23/2019,51.11,51.94,50.98,51.87,"9,32,91,960"
04/24/2019,51.84,52.12,51.76,51.79,"7,01,62,436"
04/25/2019,51.71,51.94,51.28,51.32,"7,41,72,844"
04/26/2019,51.23,51.25,50.53,51.08,"7,45,96,400"
04/29/2019,51.1,51.49,50.97,51.15,"8,88,18,884"
04/30/2019,50.77,50.85,49.78,50.17,"18,61,39,688"
05-01-2019,52.47,53.83,52.31,52.63,"25,93,09,312"
05-02-2019,52.46,53.16,52.03,52.29,"12,79,85,280"
05-03-2019,52.72,52.96,52.56,52.94,"8,35,69,524"
05-06-2019,51.07,52.21,50.88,52.12,"12,97,72,436"
05-07-2019,51.47,51.85,50.21,50.72,"15,50,54,796"
05-08-2019,50.48,51.34,50.44,50.73,"10,53,58,000"
05-09-2019,50.1,50.42,49.17,50.18,"13,96,34,436"
05-10-2019,49.35,49.71,48.19,49.3,"16,48,34,844"
05/13/2019,46.93,47.37,45.71,46.43,"22,97,22,484"
05/14/2019,46.6,47.43,46.35,47.17,"14,61,18,720"
05/15/2019,46.57,47.94,46.51,47.73,"10,61,78,884"
05/16/2019,47.48,48.12,47.21,47.52,"13,21,25,436"
05/17/2019,46.73,47.73,46.69,47.25,"13,15,16,360"
05/20/2019,45.88,46.09,45.07,45.77,"15,44,49,156"
05/21/2019,46.31,47,46.18,46.65,"11,34,59,400"
05/22/2019,46.17,46.43,45.64,45.7,"11,89,94,244"
05/23/2019,44.95,45.14,44.45,44.92,"14,61,18,952"
05/24/2019,45.05,45.54,44.66,44.74,"9,48,58,756"
05/28/2019,44.73,45.15,44.48,44.56,"11,17,92,640"
05/29/2019,44.11,44.84,44,44.35,"11,39,24,680"
05/30/2019,44.49,44.81,44.17,44.58,"8,48,73,640"
05/31/2019,44.06,44.5,43.75,43.77,"10,81,74,320"
06-03-2019,43.9,44.48,42.57,43.33,"16,15,84,280"
06-04-2019,43.86,44.96,43.63,44.91,"12,38,71,844"
06-05-2019,46.07,46.25,45.29,45.64,"11,90,93,720"
06-06-2019,45.77,46.37,45.54,46.31,"9,01,05,244"
06-07-2019,46.63,47.98,46.44,47.54,"12,27,37,564"
06-10-2019,47.95,48.84,47.91,48.15,"10,48,83,400"
06-11-2019,48.72,49,48.4,48.7,"10,77,31,524"
06-12-2019,48.49,48.99,48.35,48.55,"7,30,12,756"
06/13/2019,48.68,49.2,48.4,48.54,"8,66,98,524"
06/14/2019,47.89,48.4,47.58,48.19,"7,50,45,884"
06/17/2019,48.23,48.74,48.04,48.47,"5,86,76,560"
06/18/2019,49.01,50.07,48.8,49.61,"10,62,04,000"
