Date,Open,High,Low,Close,Volume
01-02-2019,73.26,77.67,73.05,76.96,"15,96,62,078"
01-03-2019,76,76.9,74.86,75.01,"13,95,11,438"
01-04-2019,76.5,79.7,75.92,78.77,"18,36,51,497"
01-07-2019,80.12,81.73,79.46,81.48,"15,98,64,258"
01-08-2019,83.23,83.83,80.83,82.83,"17,76,28,558"
01-09-2019,82.65,83.39,82.07,82.97,"12,69,76,018"
01-10-2019,82.05,83.16,81.08,82.81,"13,01,53,858"
01-11-2019,82.03,83.01,81.81,82.03,"9,37,24,439"
01/14/2019,80.75,82.41,79.76,80.86,"12,01,17,758"
01/15/2019,81.6,83.76,81.3,83.73,"11,99,70,198"
01/16/2019,84.21,85.25,83.79,84.19,"12,73,37,278"
01/17/2019,84,85.01,83.88,84.66,"8,41,77,499"
01/18/2019,85.6,85.81,84.58,84.81,"12,04,10,058"
01/22/2019,84.05,84.09,80.51,81.61,"12,83,35,918"
01/23/2019,82.8,82.87,80.6,82,"10,45,04,239"
01/24/2019,82.05,82.86,81.59,82.75,"8,17,98,859"
01/25/2019,83.53,84.17,83.08,83.53,"9,91,93,579"
01/28/2019,82.18,82.25,80.7,81.89,"9,67,54,219"
01/29/2019,81.56,81.62,79.54,79.69,"9,26,55,639"
01/30/2019,81.15,83.85,80.98,83.52,"11,56,76,438"
01/31/2019,84.64,86.82,83.95,85.94,"21,82,06,797"
02-01-2019,81.94,83.65,81.1,81.31,"23,01,24,197"
02-04-2019,81.15,82.48,80.68,81.67,"9,85,83,739"
02-05-2019,82.17,83.26,82.13,82.94,"8,90,62,099"
02-06-2019,83.54,83.61,81.67,82.01,"7,87,97,659"
02-07-2019,81.25,81.28,79.65,80.72,"9,25,31,779"
02-08-2019,79.3,79.43,78.34,79.41,"11,31,49,138"
02-11-2019,80.05,80.46,79.3,79.55,"6,63,46,559"
02-12-2019,80.2,81.97,79.94,81.9,"9,71,72,079"
02/13/2019,82.35,82.82,81.86,82,"7,12,06,419"
02/14/2019,81.23,81.9,80.3,81.13,"8,24,10,479"
02/15/2019,81.39,81.45,80.23,80.4,"8,68,77,859"
02/19/2019,80.05,81.7,80.03,81.38,"7,36,33,119"
02/20/2019,81.5,81.75,80.51,81.11,"6,67,51,779"
02/21/2019,80.99,81.18,80.05,80.97,"6,96,67,839"
02/22/2019,81.18,81.75,81.06,81.58,"6,19,23,819"
02/25/2019,82.07,82.73,81.52,81.65,"6,36,89,239"
02/26/2019,81.3,82,80.81,81.82,"5,33,16,299"
02/27/2019,81.41,82.09,80.76,82.05,"6,29,76,479"
02/28/2019,81.76,82.59,81.69,81.99,"6,05,17,819"
03-01-2019,82.76,83.71,82.55,83.59,"9,94,97,539"
03-04-2019,84.25,85.47,83.72,84.81,"12,33,47,158"
03-05-2019,85.15,85.39,84.45,84.62,"7,36,30,439"
03-06-2019,84.8,84.89,83.41,83.45,"7,99,20,019"
03-07-2019,83.37,83.49,81.03,81.3,"9,91,40,339"
03-08-2019,80.2,81.14,79.33,81.04,"9,33,40,279"
03-11-2019,81.31,83.61,81.3,83.53,"7,75,27,039"
03-12-2019,83.45,84.21,83.05,83.66,"7,22,89,959"
03/13/2019,84.15,85,83.97,84.54,"7,10,40,819"
03/14/2019,84.56,85.1,84.22,84.31,"5,89,32,359"
03/15/2019,85.15,85.94,84.66,85.62,"15,10,17,398"
03/18/2019,85.64,87.5,85.63,87.11,"10,85,81,158"
03/19/2019,87.68,89.21,87.68,88.09,"12,72,83,218"
03/20/2019,88.5,89.98,88.35,89.86,"12,53,12,658"
03/21/2019,89.81,91.19,89.36,90.96,"11,53,55,938"
03/22/2019,90.51,90.95,88.16,88.24,"12,72,59,658"
03/25/2019,87.89,89.13,87.38,88.71,"10,20,76,059"
03/26/2019,89.65,90.29,88.67,89.19,"9,73,17,599"
03/27/2019,89.21,89.38,87.28,88.29,"8,64,96,019"
03/28/2019,88.5,88.9,87.67,88.67,"6,08,59,159"
03/29/2019,89.33,89.64,88.83,89.04,"6,64,15,859"
04-01-2019,90.01,90.78,89.94,90.71,"8,47,75,039"
04-02-2019,90.55,91,90.26,90.7,"6,89,62,299"
04-03-2019,91.34,91.5,90.48,91.04,"7,96,11,799"
04-04-2019,91.03,91.44,90.21,90.94,"7,24,77,339"
04-05-2019,91.45,91.93,91.26,91.86,"7,28,09,519"
04-08-2019,91.66,92.51,91.26,92.49,"7,50,56,819"
04-09-2019,92.27,92.65,91.59,91.79,"7,42,87,359"
04-10-2019,92.05,92.4,91.44,92.37,"5,92,79,459"
04-11-2019,92.44,92.5,92.02,92.2,"5,30,96,839"
04-12-2019,92.42,92.58,92.07,92.15,"6,22,88,259"
04/15/2019,92.1,92.34,90.95,92.24,"7,44,88,459"
04/16/2019,92.57,93.49,92.4,93.15,"6,08,92,359"
04/17/2019,93.65,93.82,93.02,93.24,"5,78,70,339"
04/18/2019,93.44,93.54,92.97,93.08,"5,49,97,639"
04/22/2019,92.77,94.42,92.28,94.37,"6,74,76,139"
04/23/2019,94.56,96.46,94.48,96.19,"9,28,08,819"
04/24/2019,96.25,96.48,94.91,95.09,"7,35,15,619"
04/25/2019,95.85,96.12,95.02,95.11,"12,19,82,018"
04/26/2019,96.45,97.55,94.9,97.53,"16,86,51,258"
04/29/2019,97.45,97.82,96.7,96.92,"8,04,25,099"
04/30/2019,96.51,96.79,95.35,96.33,"7,01,20,139"
05-01-2019,96.65,97.18,95.53,95.58,"6,23,39,279"
05-02-2019,95.67,96.08,94.09,95.04,"7,92,58,299"
05-03-2019,97.45,98.22,96.8,98.12,"12,76,31,278"
05-06-2019,95.9,97.95,95.53,97.53,"10,83,56,818"
05-07-2019,97,97.46,95.17,96.05,"11,80,42,678"
05-08-2019,95.94,96.77,95.5,95.89,"8,15,71,359"
05-09-2019,95,95.47,93.8,94.99,"10,61,65,259"
05-10-2019,94.9,95.19,92.8,94.5,"11,43,59,878"
05/13/2019,91.83,92.33,90.9,91.13,"11,56,68,198"
05/14/2019,91.98,92.62,90.79,92.01,"9,25,82,139"
05/15/2019,91.4,93.72,91.15,93.56,"9,38,52,839"
05/16/2019,94.3,95.88,94.11,95.38,"9,41,56,439"
05/17/2019,94.65,95.53,93.37,93.45,"9,47,32,359"
05/20/2019,92.63,93.39,91.78,92.95,"7,59,63,959"
05/21/2019,93.74,93.95,92.3,92.88,"8,01,02,439"
05/22/2019,92.59,93.57,92.55,92.98,"5,87,32,019"
05/23/2019,91.83,92.2,90.21,90.77,"8,84,85,299"
05/24/2019,91.79,92.09,90.89,91.16,"6,73,93,459"
05/28/2019,91.64,92.46,91.37,91.82,"6,39,99,299"
05/29/2019,91.16,91.5,90.38,90.96,"8,55,80,499"
05/30/2019,91.27,91.47,90.39,90.82,"6,29,36,999"
05/31/2019,89.5,89.78,88.64,88.75,"9,23,76,379"
06-03-2019,88,88.31,83.6,84.63,"18,19,74,157"
06-04-2019,84.96,86.54,84.04,86.48,"11,35,82,418"
06-05-2019,87.48,87.6,85.76,86.93,"8,47,95,639"
06-06-2019,86.89,88,86.31,87.72,"7,37,85,439"
06-07-2019,88.19,90.31,87.97,90.2,"9,61,64,919"
06-10-2019,91.1,94.24,90.9,93.03,"10,74,20,138"
06-11-2019,94.16,94.69,92.9,93.19,"8,08,53,879"
06-12-2019,92.7,93.25,92.22,92.77,"5,35,66,699"
06/13/2019,93.34,94.15,93.11,93.52,"5,59,16,199"
06/14/2019,93.2,93.8,92.95,93.48,"5,70,23,259"
06/17/2019,93.83,94.78,93.77,94.3,"5,26,86,839"
06/18/2019,95.07,96.08,94.99,95.07,"7,79,14,559"
06/19/2019,95.39,95.98,94.62,95.44,"5,79,06,939"
06/20/2019,96.67,96.76,95.29,95.91,"6,43,43,059"
06/21/2019,95.81,96.3,95.38,95.57,"7,86,71,519"
06/24/2019,95.63,95.84,95.07,95.7,"4,56,59,379"
06/25/2019,95.59,95.82,93.62,93.91,"6,02,46,939"
06/26/2019,94.62,95.19,94.37,94.89,"4,88,38,199"
06/27/2019,95.1,95.56,94.9,95.21,"4,28,34,419"
