Date,Open,High,Low,Close,Volume
01-02-2019,316.19,323.95,313.71,323.81,"32,92,204"
01-03-2019,319.49,319.74,309.4,310.9,"57,05,567"
01-04-2019,316.69,328.44,316.08,327.08,"44,48,759"
01-07-2019,330.52,330.69,323.35,328.11,"40,30,280"
01-08-2019,334.11,341.25,332.65,340.53,"47,36,472"
01-09-2019,342.96,347.2,340.87,343.83,"42,13,870"
01-10-2019,346.51,353.47,343,352.61,"53,58,117"
01-11-2019,348.56,354.36,348.09,352.9,"31,58,852"
01/14/2019,348.2,352.81,347.01,350.36,"24,76,367"
01/15/2019,352,353.32,347.98,352.24,"29,40,908"
01/16/2019,352.5,355,351.56,352.06,"27,31,082"
01/17/2019,350.75,363.83,350.73,359.09,"42,70,365"
01/18/2019,363.88,367.32,361.32,364.73,"42,56,505"
01/22/2019,362.86,364.2,354.23,357.9,"43,36,541"
01/23/2019,361.91,362.2,353.67,358.61,"29,24,874"
01/24/2019,358.91,363.18,356.9,358.27,"28,01,392"
01/25/2019,362.49,366.94,360.33,364.2,"31,90,425"
01/28/2019,360.65,363.17,357.5,362.97,"31,28,884"
01/29/2019,363.07,367.78,362.41,364.91,"32,02,652"
01/30/2019,387.4,391.97,380.5,387.72,"1,27,05,310"
01/31/2019,387.16,388.99,382.08,385.62,"68,78,455"
02-01-2019,386.11,392.8,384.73,387.43,"56,25,749"
02-04-2019,388.97,397.07,388.12,397,"42,56,562"
02-05-2019,400.75,410.75,399.55,410.18,"72,30,380"
02-06-2019,411.51,413.88,405.66,411.11,"53,56,025"
02-07-2019,407.93,410.35,402.29,405.17,"52,11,412"
02-08-2019,400,404.96,397.8,404.91,"45,70,946"
02-11-2019,408.1,409.83,402.69,403.95,"30,46,932"
02-12-2019,407,411.21,405.4,410.72,"32,63,321"
02/13/2019,412.52,412.72,407.67,410.58,"30,78,692"
02/14/2019,408.93,412.22,407.8,409.82,"27,24,260"
02/15/2019,412.48,418.05,411.43,417.97,"40,17,338"
02/19/2019,415.5,417.94,414.54,416.26,"30,51,459"
02/20/2019,417.14,421.84,417.11,421.55,"39,90,102"
02/21/2019,421.58,422.41,415.68,417.58,"28,80,474"
02/22/2019,419.7,424.47,419.14,424.05,"31,32,298"
02/25/2019,427.49,429.92,426.52,426.87,"32,76,050"
02/26/2019,426,429,424.25,426.77,"25,03,684"
02/27/2019,427.17,436.33,427.15,435.44,"46,03,847"
02/28/2019,438.7,441.42,437.08,439.96,"50,63,147"
03-01-2019,446.01,446.01,440.19,440.62,"51,24,178"
03-04-2019,443.22,444.5,426.63,432.69,"59,71,042"
03-05-2019,431.04,433.85,428.64,430.12,"28,44,273"
03-06-2019,429.7,432,422.08,424.46,"41,59,385"
03-07-2019,423.36,427.7,416.44,422.56,"48,93,598"
03-08-2019,416.77,423.43,415.5,422.54,"37,94,945"
03-11-2019,371.27,402.67,365.55,400.01,"3,47,42,191"
03-12-2019,384.71,390,368,375.41,"3,69,22,594"
03/13/2019,378.43,381.77,363.33,377.14,"3,26,62,250"
03/14/2019,374.99,380.39,372.1,373.3,"1,35,14,060"
03/15/2019,370.88,385.71,366.45,378.99,"2,66,97,711"
03/18/2019,370,373.07,367.2,372.28,"1,31,19,210"
03/19/2019,371.14,378.77,371.01,373.43,"98,56,108"
03/20/2019,374.7,380.8,373.68,376.16,"87,37,593"
03/21/2019,374.04,377,372.23,372.7,"69,50,985"
03/22/2019,368.79,369.86,361.53,362.17,"1,01,43,920"
03/25/2019,365,371.21,362.89,370.46,"79,39,602"
03/26/2019,375.58,375.6,367.6,370.38,"64,79,729"
03/27/2019,371.89,376.66,365.55,374.21,"95,99,957"
03/28/2019,376.6,376.66,372.33,374.44,"49,21,337"
03/29/2019,376.52,382.18,374.74,381.42,"76,94,707"
04-01-2019,385.8,392.9,383.1,391.54,"77,35,719"
04-02-2019,388.5,394.83,388.5,390.75,"64,01,023"
04-03-2019,389.68,391.54,384.07,384.74,"73,50,347"
04-04-2019,385.99,397.06,385.1,395.86,"93,88,082"
04-05-2019,398.07,398.66,390.95,391.93,"68,57,151"
04-08-2019,376.2,379.8,371.86,374.52,"1,44,82,600"
04-09-2019,370.29,372.24,367.75,369.04,"79,80,062"
04-10-2019,368.4,368.79,362.92,364.94,"82,84,959"
04-11-2019,364.62,371.08,364.21,370.16,"65,98,367"
04-12-2019,375.75,379.95,372,379.64,"73,34,644"
04/15/2019,376.7,377.9,373.68,375.46,"38,22,079"
04/16/2019,376.51,384.64,375.03,381.72,"70,83,834"
04/17/2019,384.1,384.19,377.48,377.52,"44,24,421"
04/18/2019,377.52,382.17,377.52,380.07,"47,03,105"
04/22/2019,375.69,378.95,374.9,375.17,"41,47,652"
04/23/2019,375.54,376.87,372.61,374.02,"48,94,517"
04/24/2019,377.89,381.15,373.66,375.46,"98,55,141"
04/25/2019,376.01,384.8,372.76,382.8,"66,14,992"
04/26/2019,383.89,384,378.14,380.79,"42,59,621"
04/29/2019,378.49,385.3,376.76,379.05,"54,57,300"
04/30/2019,379.5,381.14,375.05,377.69,"37,32,809"
05-01-2019,378.53,381.2,376.38,376.8,"27,65,572"
05-02-2019,375.5,377.65,373.25,375.8,"24,38,759"
05-03-2019,376.08,377.9,374.22,376.46,"29,53,838"
05-06-2019,367.88,372.48,365.63,371.6,"47,47,601"
05-07-2019,366.33,367.71,355.02,357.23,"97,40,301"
05-08-2019,357.77,361.52,353.33,359.75,"60,29,997"
05-09-2019,354.76,355.65,347.47,354.13,"60,75,156"
05-10-2019,351.87,355.54,347.55,354.67,"45,74,070"
05/13/2019,344.51,346.63,337,337.37,"77,57,832"
05/14/2019,339.9,346.1,337.23,343.04,"47,47,753"
05/15/2019,339.8,348.8,337.64,345.64,"48,09,967"
05/16/2019,348.64,356.5,345.82,353.81,"60,36,506"
05/17/2019,351.5,359.99,351.16,355.02,"52,82,942"
05/20/2019,353,355.94,350.53,352.79,"32,19,868"
05/21/2019,358.03,360.77,354.88,358.75,"40,22,572"
05/22/2019,357.22,357.57,351.75,352.78,"38,41,430"
05/23/2019,345.92,351.47,341.15,350.55,"53,05,388"
05/24/2019,355,361.4,353,354.9,"53,87,544"
05/28/2019,355.29,359.31,354.88,354.88,"35,04,281"
05/29/2019,352.59,352.79,346.05,348.8,"41,60,546"
05/30/2019,350,351.92,347.94,349.87,"21,83,884"
05/31/2019,345.85,345.85,341.36,341.61,"32,17,646"
06-03-2019,338.2,339.11,330.67,338.89,"51,48,019"
06-04-2019,342.57,346.41,340.12,344.62,"35,92,323"
