Date,Open,High,Low,Close,Volume
01-02-2019,50.83,52.62,50.79,52.29,"3,06,52,160"
01-03-2019,52.05,52.85,50.7,50.8,"3,68,21,320"
01-04-2019,51.63,53.54,51.37,53.54,"4,18,77,880"
01-07-2019,53.58,53.7,52.74,53.42,"3,96,37,480"
01-08-2019,53.81,54.23,53.03,53.81,"3,53,05,340"
01-09-2019,54.08,54.13,53.32,53.73,"2,39,85,440"
01-10-2019,53.38,53.56,52.89,53.52,"2,91,28,420"
01-11-2019,53.16,53.19,52.42,52.86,"3,04,15,120"
01/14/2019,52.35,52.58,52.06,52.23,"2,28,85,260"
01/15/2019,52.51,54,52.37,53.86,"2,92,71,400"
01/16/2019,54,54.62,53.97,54.05,"2,66,36,380"
01/17/2019,53.97,54.59,53.68,54.5,"2,48,53,280"
01/18/2019,55,55.42,54.55,54.91,"3,91,11,180"
01/22/2019,54.4,54.58,53.17,53.53,"3,22,70,540"
01/23/2019,53.87,54.25,52.99,53.78,"1,93,39,120"
01/24/2019,53.82,53.97,53.04,53.7,"2,72,33,460"
01/25/2019,54.25,54.7,54.09,54.55,"2,23,84,320"
01/28/2019,54.01,54.15,53.19,53.5,"2,56,85,620"
01/29/2019,53.63,53.76,52.79,53.03,"2,04,36,380"
01/30/2019,53.42,54.55,53.34,54.45,"2,55,96,440"
01/31/2019,55.15,55.87,54.77,55.82,"3,07,66,480"
02-01-2019,55.62,56.25,55.24,55.54,"2,92,44,160"
02-04-2019,55.63,56.64,55.45,56.64,"5,15,29,400"
02-05-2019,56.24,57.34,55.86,57.3,"7,10,43,880"
02-06-2019,56.98,57.35,55.64,55.76,"4,21,11,840"
02-07-2019,55.21,55.24,54.3,54.94,"4,08,96,540"
02-08-2019,54.35,54.95,54.33,54.75,"2,15,15,380"
02-11-2019,54.85,55.3,54.64,54.75,"2,13,03,880"
02-12-2019,55.34,56.26,55.29,56.07,"3,21,90,260"
02/13/2019,56.25,56.74,55.93,56.01,"2,09,95,620"
02/14/2019,55.9,56.41,55.52,56.08,"1,89,52,640"
02/15/2019,56.5,56.58,55.53,55.68,"2,89,96,600"
02/19/2019,55.5,56.09,55.5,55.93,"2,09,32,560"
02/20/2019,56,56.17,55.26,55.69,"2,17,56,340"
02/21/2019,55.54,55.6,54.63,54.85,"2,83,09,460"
02/22/2019,55.05,55.56,54.78,55.52,"2,09,90,900"
02/25/2019,55.8,55.93,55.36,55.47,"2,82,61,220"
02/26/2019,55.29,55.98,55,55.76,"2,94,34,860"
02/27/2019,55.35,55.9,55.05,55.8,"1,93,75,200"
02/28/2019,55.57,56.38,55.55,56,"3,08,52,180"
03-01-2019,56.25,57.15,56.24,57.05,"2,90,06,320"
03-04-2019,57.35,57.91,56.53,57.39,"2,89,20,940"
03-05-2019,57.5,58.48,57.31,58.1,"2,88,63,480"
03-06-2019,58.12,58.38,57.77,57.89,"2,19,85,780"
03-07-2019,57.79,57.84,56.75,57.17,"2,33,31,180"
03-08-2019,56.34,57.35,56.17,57.12,"2,42,49,780"
03-11-2019,57.22,58.81,57.22,58.79,"3,43,83,840"
03-12-2019,58.91,60,58.91,59.66,"4,02,62,300"
03/13/2019,60.03,60.05,59.6,59.67,"2,87,18,720"
03/14/2019,59.73,59.89,59.22,59.28,"2,34,56,300"
03/15/2019,59.67,59.83,59.13,59.22,"4,91,99,140"
03/18/2019,59.17,59.5,58.87,59.21,"2,58,52,660"
03/19/2019,59.44,60,59.29,59.94,"3,04,13,760"
03/20/2019,59.87,61.36,59.81,61.2,"4,45,55,720"
03/21/2019,60.8,61.59,60.66,61.58,"2,40,80,900"
03/22/2019,61.32,61.5,60.14,60.28,"3,42,84,940"
03/25/2019,59.85,60.32,59.35,59.65,"2,99,36,860"
03/26/2019,59.93,60.14,58.84,59.23,"3,80,23,120"
03/27/2019,59.28,59.38,57.97,58.65,"2,80,04,800"
03/28/2019,58.58,58.58,57.97,58.42,"2,02,48,600"
03/29/2019,58.75,58.95,58.14,58.67,"2,53,99,580"
04-01-2019,59.21,59.83,59.1,59.72,"2,50,55,140"
04-02-2019,59.77,60.07,59.29,60.02,"1,65,59,460"
04-03-2019,60.37,60.82,60.03,60.3,"2,03,56,760"
04-04-2019,60.3,60.78,60.21,60.75,"1,90,14,940"
04-05-2019,60.75,60.81,60.25,60.36,"1,81,43,040"
04-08-2019,60.39,60.43,59.99,60.19,"1,72,07,260"
04-09-2019,59.8,60.11,59.65,59.86,"1,75,27,620"
04-10-2019,60.03,60.19,59.82,60.11,"1,44,92,860"
04-11-2019,60.2,60.4,60.01,60.23,"1,42,04,620"
04-12-2019,60.5,60.92,60.41,60.89,"1,86,75,880"
04/15/2019,60.9,61.21,60.46,61.06,"2,37,50,380"
04/16/2019,61.25,61.54,61.01,61.36,"1,71,26,080"
04/17/2019,61.65,62.03,61.39,61.82,"2,44,38,600"
04/18/2019,61.96,62.1,61.73,61.82,"2,66,36,460"
04/22/2019,61.8,62.45,61.42,62.44,"1,61,46,680"
04/23/2019,62.53,63.45,62.32,63.23,"2,63,98,200"
04/24/2019,63.21,63.4,62.75,62.8,"2,03,75,060"
04/25/2019,63.24,63.37,62.6,63.17,"2,21,45,900"
04/26/2019,63.45,63.65,63.02,63.61,"2,48,28,560"
04/29/2019,63.7,64.46,63.31,64.38,"4,99,88,640"
04/30/2019,59.25,59.64,58.75,59.42,"12,41,40,540"
05-01-2019,59.4,59.4,58.36,58.4,"5,28,59,660"
05-02-2019,58.39,58.71,57.75,58.13,"3,88,96,340"
05-03-2019,58.68,59.34,58.45,59.27,"3,96,13,060"
05-06-2019,58.31,59.54,58.31,59.47,"3,12,78,860"
05-07-2019,59.02,59.52,58.05,58.71,"3,10,27,360"
05-08-2019,58.6,59.02,58.29,58.31,"2,61,90,280"
05-09-2019,57.95,58.48,57.54,58.12,"2,37,19,460"
05-10-2019,58.18,58.63,57.13,58.21,"2,62,90,920"
05/13/2019,57.1,57.4,56.11,56.6,"3,72,12,960"
05/14/2019,56.86,57.02,55.98,56.02,"3,67,32,080"
05/15/2019,55.89,58.57,55.83,58.21,"4,57,86,040"
05/16/2019,58.23,59.41,58.14,58.95,"3,06,28,080"
05/17/2019,58.42,59.01,58,58.12,"2,41,72,460"
05/20/2019,57.23,57.34,56.57,56.94,"2,70,65,840"
