Date,Open,High,Low,Close,Volume
01-02-2019,106.99,110.78,106.68,110.04,"42,39,924"
01-03-2019,109.39,109.73,107.64,107.85,"43,46,659"
01-04-2019,109.76,112.22,109.31,112.06,"44,77,755"
01-07-2019,112.23,113.5,111.44,112.85,"37,51,204"
01-08-2019,114.29,115.16,113.65,114.46,"47,63,636"
01-09-2019,115.49,115.96,114.5,115.28,"36,33,663"
01-10-2019,114.7,116.4,114.57,116.33,"39,09,971"
01-11-2019,116.13,116.16,114.81,116.01,"37,22,370"
01/14/2019,115.11,115.25,114.39,114.99,"52,28,909"
01/15/2019,115.54,116.46,115.4,116.27,"35,07,719"
01/16/2019,116.13,116.53,115.41,116.17,"38,41,100"
01/17/2019,115.15,116.92,115.15,116.71,"50,29,871"
01/18/2019,117.74,119.13,117.21,118.27,"60,08,509"
01/22/2019,117.77,118.25,116.09,117.03,"1,00,52,380"
01/23/2019,125.48,128.95,124.47,126.93,"2,20,63,670"
01/24/2019,126.68,127.23,125.54,126.59,"63,22,928"
01/25/2019,126.91,128.41,126.49,127.96,"57,08,500"
01/28/2019,127.13,128.76,126.64,128.25,"53,57,736"
01/29/2019,128.27,129.34,127.61,128.31,"50,37,129"
01/30/2019,127.99,128.98,127.28,128.35,"45,00,919"
01/31/2019,128.42,128.68,127.74,128.39,"48,84,031"
02-01-2019,128.92,129.14,127.37,128.09,"38,06,047"
02-04-2019,128.01,129.14,127.03,129.13,"39,66,597"
02-05-2019,129.21,129.73,128.87,129.47,"53,98,907"
02-06-2019,129.16,130.52,129.11,130.21,"48,79,670"
02-07-2019,127.56,128.44,126.2,127.22,"43,79,439"
02-08-2019,126.41,127.71,126.26,127.71,"32,50,074"
02-11-2019,128.27,129.09,127.91,127.98,"30,95,069"
02-12-2019,129.09,130.09,128.81,129.95,"33,17,161"
02/13/2019,130.78,131.74,130.29,131.35,"42,53,042"
02/14/2019,131.02,131.43,130.1,130.36,"27,89,839"
02/15/2019,131.41,131.99,131.23,131.84,"38,44,062"
02/19/2019,131.63,132.48,131.2,132.48,"33,85,675"
02/20/2019,132.54,133,131.07,131.81,"38,01,979"
02/21/2019,131.64,132.15,131.19,131.66,"29,37,467"
02/22/2019,132.51,133.13,132.22,133.01,"31,13,698"
02/25/2019,133.72,134.17,133.07,133.21,"31,94,161"
02/26/2019,133.41,134.19,133.22,133.46,"30,60,381"
02/27/2019,133.01,133.31,132.2,132.93,"25,30,968"
02/28/2019,132.55,132.82,131.55,131.94,"34,57,788"
03-01-2019,133.06,133.76,132.42,132.96,"30,30,044"
03-04-2019,133.71,133.8,131.02,132.22,"34,07,217"
03-05-2019,132.17,132.52,131.39,131.7,"42,50,650"
03-06-2019,131.93,132.18,130.59,130.84,"27,68,256"
03-07-2019,130.48,130.75,128.6,129.29,"43,58,802"
03-08-2019,128.19,129.18,127.59,129.03,"37,73,722"
03-11-2019,129.93,131.55,129.75,131.54,"39,39,517"
