Date,Open,High,Low,Close,Volume
01-02-2019,23.85,25.39,23.68,25.19,"89,80,811"
01-03-2019,25.7,25.8,24.57,24.7,"96,53,519"
01-04-2019,25.46,26.05,25.36,25.77,"1,18,18,370"
01-07-2019,25.89,26.72,25.47,26.51,"95,21,010"
01-08-2019,26.99,27.27,26.35,27.21,"90,39,085"
01-09-2019,27.33,27.94,27.31,27.61,"1,22,90,900"
01-10-2019,27.45,28.95,27.27,28,"1,91,97,900"
01-11-2019,27.8,28.15,27.69,28,"89,63,116"
01/14/2019,27.63,27.89,27.35,27.4,"63,91,572"
01/15/2019,27.6,27.83,27.08,27.34,"81,27,445"
01/16/2019,27.31,27.92,27.3,27.48,"48,13,581"
01/17/2019,27.17,27.99,27.17,27.74,"63,11,734"
01/18/2019,28.06,28.62,27.68,28.56,"1,36,82,800"
01/22/2019,28.4,28.41,27.56,27.87,"91,69,673"
01/23/2019,27.86,28.11,27.65,27.81,"1,02,84,850"
01/24/2019,28.02,28.74,27.82,27.89,"1,15,11,190"
01/25/2019,28.25,28.73,28.1,28.7,"91,11,175"
01/28/2019,28.3,28.74,28.12,28.46,"1,11,41,810"
01/29/2019,28.59,28.78,28.28,28.36,"64,52,611"
01/30/2019,28.69,29.03,28.34,28.99,"75,48,630"
01/31/2019,29.25,29.56,28.93,29.44,"87,18,842"
02-01-2019,29.44,30.21,29.44,29.75,"1,21,04,310"
02-04-2019,29.75,29.84,29.46,29.55,"56,37,250"
02-05-2019,29.51,29.8,29.22,29.51,"58,37,137"
02-06-2019,29.57,29.8,29.32,29.61,"52,41,170"
02-07-2019,29.35,29.4,28.52,28.9,"51,61,753"
02-08-2019,28.64,28.98,28.47,28.97,"45,58,307"
02-11-2019,29.16,29.22,28.65,28.99,"99,64,115"
02-12-2019,29.19,29.36,28.79,28.87,"77,03,774"
02/13/2019,29.09,29.28,28.9,29.23,"86,36,388"
02/14/2019,27.58,28.06,27.01,27.37,"2,51,48,689"
02/15/2019,27.58,28.39,27.39,28.21,"1,30,98,170"
02/19/2019,28.32,28.76,28.26,28.47,"69,02,130"
02/20/2019,28.5,28.9,28.4,28.81,"86,59,114"
02/21/2019,28.85,28.9,28.16,28.35,"1,08,08,870"
02/22/2019,28.42,28.47,27.38,27.71,"1,18,64,560"
02/25/2019,28,28.4,27.69,27.7,"73,31,643"
02/26/2019,27.62,27.95,27.55,27.68,"83,62,783"
02/27/2019,27.58,27.58,27.08,27.16,"48,97,486"
02/28/2019,27.05,27.05,26.35,26.75,"97,52,463"
03-01-2019,27.06,27.11,26.61,26.98,"66,44,908"
03-04-2019,27.07,27.26,26.54,26.84,"51,05,961"
03-05-2019,26.89,27.06,26.72,26.89,"44,79,315"
03-06-2019,27.09,27.42,26.97,26.97,"55,24,640"
03-07-2019,26.93,26.93,25.99,26.45,"75,19,060"
03-08-2019,26.19,26.52,25.96,26.5,"65,14,581"
03-11-2019,26.58,26.77,26.21,26.57,"57,44,532"
03-12-2019,26.63,26.76,26.48,26.61,"33,42,225"
03/13/2019,26.76,27,26.56,26.57,"41,87,825"
03/14/2019,26.55,26.71,26.2,26.45,"39,76,258"
03/15/2019,26.63,26.96,25.98,26.02,"98,95,014"
03/18/2019,26.06,26.27,25.94,26.25,"49,02,519"
03/19/2019,26.45,26.99,26.33,26.57,"47,75,114"
03/20/2019,26.49,26.69,25.99,26.25,"49,32,240"
03/21/2019,26.11,26.96,26.09,26.9,"62,58,190"
03/22/2019,26.7,26.74,25.97,26.09,"56,81,598"
03/25/2019,26.04,26.41,25.73,25.75,"63,57,720"
03/26/2019,25.85,26.13,25.56,25.78,"53,27,127"
03/27/2019,25.75,25.78,24.86,25,"89,53,525"
03/28/2019,25.02,25.86,25.02,25.46,"81,24,990"
03/29/2019,25.69,26.07,25.49,25.66,"71,82,095"
04-01-2019,26.05,26.73,26.03,26.59,"81,50,720"
04-02-2019,26.64,26.85,26.38,26.77,"45,95,535"
04-03-2019,26.83,27.32,26.8,27,"80,58,260"
04-04-2019,27.05,27.17,26.88,27.15,"40,33,362"
04-05-2019,27.25,27.61,27.09,27.44,"52,62,794"
04-08-2019,27.5,27.61,27.28,27.56,"40,90,519"
04-09-2019,27.33,27.37,26.39,26.48,"75,21,071"
