Date,Open,High,Low,Close,Volume
01-02-2019,21.52,22.35,21.37,22.31,"3,92,93,953"
01-03-2019,22.29,22.51,22.06,22.34,"3,76,03,566"
01-04-2019,22.63,22.94,22.57,22.91,"4,20,72,391"
01-07-2019,23.21,23.61,22.97,23.33,"4,10,70,898"
01-08-2019,23.64,23.7,23.43,23.62,"4,35,67,262"
01-09-2019,23.32,23.32,22.63,22.73,"4,43,05,281"
01-10-2019,22.69,23.02,22.52,22.96,"3,20,15,600"
01-11-2019,22.96,23.37,22.89,23.31,"2,89,33,609"
01/14/2019,23.18,23.24,22.95,23.12,"2,44,68,180"
01/15/2019,23.05,23.11,22.83,23.11,"2,67,35,369"
01/16/2019,23.06,23.22,22.92,23.08,"2,44,94,420"
01/17/2019,23.07,23.22,22.96,23.14,"2,62,66,971"
01/18/2019,23.27,23.43,23.05,23.38,"4,32,49,113"
01/22/2019,23.35,23.4,22.97,23.09,"3,76,58,461"
01/23/2019,23.2,23.33,23.1,23.33,"2,78,54,619"
01/24/2019,23.24,23.24,22.86,23.11,"2,43,93,840"
01/25/2019,23.17,23.44,23.14,23.15,"3,05,05,711"
01/28/2019,23.12,23.17,22.98,23.16,"3,10,28,570"
01/29/2019,23.12,23.18,23,23.18,"3,13,42,730"
01/30/2019,22.63,22.96,21.91,22.18,"9,29,53,477"
01/31/2019,22.28,22.72,22.01,22.7,"5,21,76,969"
02-01-2019,22.81,22.93,22.58,22.66,"4,10,76,160"
02-04-2019,22.68,22.68,22.32,22.36,"3,90,34,262"
02-05-2019,22.41,22.44,22.25,22.38,"2,92,76,891"
02-06-2019,22.43,22.5,22.29,22.32,"2,29,28,170"
02-07-2019,22.31,22.32,21.84,22.24,"3,78,87,754"
02-08-2019,22.2,22.32,21.98,22.32,"2,42,81,570"
02-11-2019,22.34,22.53,22.25,22.44,"2,90,57,320"
02-12-2019,22.54,22.68,22.45,22.51,"2,99,89,070"
02/13/2019,22.51,22.56,22.28,22.53,"3,00,40,090"
02/14/2019,22.43,22.66,22.32,22.5,"2,58,46,240"
02/15/2019,22.68,23.05,22.6,23.01,"3,71,88,660"
02/19/2019,23,23.17,22.89,23.13,"2,47,12,410"
02/20/2019,23.14,23.37,23,23.3,"2,47,49,090"
02/21/2019,23.3,23.46,23.13,23.28,"2,65,80,391"
02/22/2019,23.37,23.55,23.27,23.52,"2,33,57,230"
02/25/2019,23.6,23.63,23.43,23.51,"2,44,14,699"
02/26/2019,23.52,23.74,23.38,23.58,"2,96,64,840"
02/27/2019,23.58,23.61,23.24,23.46,"2,63,49,551"
02/28/2019,23.46,23.61,23.39,23.5,"2,82,25,980"
03-01-2019,23.56,23.59,23.14,23.27,"3,05,92,850"
03-04-2019,23.37,23.37,22.41,22.64,"4,94,82,738"
03-05-2019,22.67,22.69,22.5,22.62,"2,60,29,789"
03-06-2019,22.66,22.76,22.48,22.51,"2,45,80,340"
03-07-2019,22.55,22.71,22.5,22.59,"2,48,26,100"
03-08-2019,22.54,22.7,22.46,22.63,"2,25,05,949"
03-11-2019,22.64,22.89,22.61,22.82,"2,60,18,529"
03-12-2019,22.84,23.33,22.82,23.13,"3,24,84,590"
03/13/2019,23.15,23.2,22.81,22.87,"2,77,02,221"
03/14/2019,22.87,23.03,22.81,22.87,"2,20,91,439"
03/15/2019,23.04,23.17,22.88,23.16,"5,33,61,641"
03/18/2019,23.17,23.29,23.1,23.26,"2,33,25,109"
