Date,Open,High,Low,Close,Volume
01-02-2019,20.41,21.01,19.92,20.67,"17,48,79,742"
01-03-2019,20.47,20.63,19.83,20.02,"10,44,77,755"
01-04-2019,20.4,21.2,20.18,21.18,"11,09,11,735"
01-07-2019,21.45,22.45,21.18,22.33,"11,32,68,370"
01-08-2019,22.8,22.93,21.8,22.36,"10,51,27,735"
01-09-2019,22.37,22.9,22.1,22.57,"8,14,94,171"
01-10-2019,22.29,23.03,22.12,23,"9,08,45,306"
01-11-2019,22.81,23.23,22.58,23.15,"7,55,85,777"
01/14/2019,22.83,22.83,22.27,22.29,"7,87,09,257"
01/15/2019,22.33,23.25,22.3,22.96,"9,08,48,846"
01/16/2019,22.99,23.47,22.9,23.07,"7,03,76,082"
01/17/2019,23.08,23.43,22.94,23.15,"5,51,50,993"
01/18/2019,21.53,21.81,19.98,20.15,"36,22,61,384"
01/22/2019,20.32,20.53,19.7,19.93,"18,10,01,092"
01/23/2019,19.5,19.63,18.78,19.17,"18,79,49,842"
01/24/2019,18.87,19.58,18.62,19.43,"12,01,82,320"
01/25/2019,19.63,19.9,19.3,19.8,"10,88,71,165"
01/28/2019,19.53,19.83,19.18,19.76,"9,63,49,181"
01/29/2019,19.68,19.9,19.45,19.83,"6,93,25,377"
01/30/2019,20.03,20.6,19.9,20.58,"16,87,54,793"
01/31/2019,20.07,20.77,19.6,20.47,"18,85,38,742"
02-01-2019,20.36,21.07,20.23,20.81,"10,92,51,610"
02-04-2019,20.87,21.02,20.13,20.86,"11,02,81,225"
02-05-2019,20.83,21.5,20.82,21.42,"10,11,41,471"
02-06-2019,21.31,21.62,21.04,21.15,"7,55,78,187"
02-07-2019,20.89,20.98,20.2,20.5,"9,78,09,161"
02-08-2019,20.46,20.5,19.9,20.39,"8,76,63,176"
02-11-2019,20.77,21.24,20.7,20.86,"10,69,45,690"
02-12-2019,21.08,21.21,20.64,20.79,"8,27,63,546"
02/13/2019,20.82,20.85,20.37,20.54,"7,71,24,252"
02/14/2019,20.23,20.45,20.07,20.25,"7,80,12,477"
02/15/2019,20.3,20.53,20.26,20.53,"5,85,74,202"
02/19/2019,20.44,20.77,20.36,20.38,"6,25,26,642"
02/20/2019,20.29,20.42,19.93,20.17,"10,71,31,750"
02/21/2019,20.12,20.22,19.37,19.42,"13,36,37,724"
02/22/2019,19.63,19.77,19.47,19.65,"8,61,08,366"
02/25/2019,19.86,20.19,19.8,19.92,"9,93,97,826"
02/26/2019,19.48,20.13,19.25,19.86,"12,87,38,034"
02/27/2019,20.12,21.09,20.04,20.98,"16,77,58,643"
02/28/2019,21.26,21.33,20.72,21.33,"15,78,09,743"
03-01-2019,20.46,20.48,19.46,19.65,"34,36,70,700"
03-04-2019,19.87,19.93,18.85,19.02,"25,64,52,289"
03-05-2019,18.8,18.93,18.01,18.44,"28,14,71,088"
03-06-2019,18.43,18.77,18.29,18.42,"15,50,32,343"
03-07-2019,18.59,18.98,18.28,18.44,"14,16,37,254"
03-08-2019,18.46,19.04,18.39,18.94,"13,22,94,369"
03-11-2019,18.9,19.42,18.7,19.39,"11,08,84,150"
03-12-2019,19.1,19.2,18.74,18.89,"11,25,62,050"
03/13/2019,18.93,19.47,18.85,19.26,"10,26,70,795"
03/14/2019,19.5,19.69,19.22,19.33,"10,65,51,700"
03/15/2019,18.9,18.91,18.29,18.36,"22,17,82,940"
03/18/2019,18.4,18.54,17.82,17.97,"15,42,14,693"
03/19/2019,17.83,18.22,17.56,17.83,"17,70,09,442"
03/20/2019,17.98,18.33,17.75,18.24,"10,36,23,355"
03/21/2019,18.17,18.43,17.9,18.27,"8,92,06,466"
03/22/2019,18.17,18.19,17.6,17.64,"13,11,84,129"
03/25/2019,17.31,17.55,16.96,17.36,"15,32,25,443"
03/26/2019,17.63,18.02,17.63,17.85,"11,02,64,215"
03/27/2019,17.92,18.36,17.88,18.32,"13,16,87,484"
03/28/2019,18.48,18.69,18.34,18.57,"10,16,11,391"
03/29/2019,18.58,18.68,18.3,18.66,"8,98,70,066"
04-01-2019,18.84,19.28,18.75,19.28,"12,16,56,580"
04-02-2019,19.22,19.3,18.93,19.06,"8,21,84,096"
04-03-2019,19.15,19.74,19.14,19.45,"11,89,47,955"
04-04-2019,17.46,18.08,17.37,17.85,"35,58,10,964"
04-05-2019,17.99,18.41,17.74,18.33,"19,55,73,891"
04-08-2019,18.51,18.74,18.03,18.21,"15,61,56,593"
04-09-2019,18.11,18.33,17.97,18.15,"8,85,60,461"
04-10-2019,18.45,18.56,18.19,18.4,"10,59,19,705"
04-11-2019,17.89,18.03,17.71,17.89,"14,75,38,899"
04-12-2019,18.01,18.13,17.79,17.85,"10,11,89,606"
04/15/2019,17.91,17.93,17.24,17.76,"15,05,78,693"
04/16/2019,17.72,18.33,17.65,18.22,"10,90,93,945"
04/17/2019,18.32,18.32,17.9,18.08,"7,68,97,017"
04/18/2019,18.08,18.32,17.98,18.22,"8,81,44,871"
04/22/2019,17.93,17.98,17.5,17.52,"18,22,07,092"
04/23/2019,17.34,17.71,17.05,17.59,"16,41,57,893"
04/24/2019,17.59,17.69,17.2,17.24,"16,09,11,743"
04/25/2019,17,17.27,16.4,16.51,"32,77,40,851"
04/26/2019,16.43,16.45,15.41,15.68,"33,54,10,680"
04/29/2019,15.72,16.27,15.48,16.1,"25,07,17,189"
04/30/2019,16.14,16.28,15.8,15.91,"14,19,69,414"
05-01-2019,15.92,16,15.43,15.6,"16,05,65,228"
05-02-2019,16.37,16.48,15.85,16.27,"27,23,90,088"
05-03-2019,16.26,17.11,16.23,17,"35,56,01,549"
05-06-2019,16.67,17.22,16.57,17.02,"16,25,09,093"
05-07-2019,17.12,17.15,16.34,16.47,"15,19,71,143"
05-08-2019,16.46,16.71,16.28,16.32,"9,26,46,596"
05-09-2019,16.13,16.25,15.8,16.13,"10,06,70,711"
05-10-2019,15.98,16.13,15.73,15.97,"10,51,25,035"
05/13/2019,15.47,15.5,14.97,15.13,"16,25,21,993"
05/14/2019,15.29,15.63,15.2,15.49,"10,87,86,175"
05/15/2019,15.29,15.5,15.02,15.46,"10,94,39,635"
05/16/2019,15.3,15.4,15.1,15.22,"11,22,49,090"
05/17/2019,14.8,14.82,13.93,14.07,"26,68,00,068"
05/20/2019,13.52,13.73,13.02,13.69,"30,78,92,971"
05/21/2019,13.18,13.83,13.07,13.67,"27,00,58,458"
05/22/2019,13.27,13.6,12.79,12.85,"28,02,77,853"
05/23/2019,12.96,13.3,12.41,13.03,"39,82,07,097"
05/24/2019,13.32,13.33,12.58,12.71,"21,20,48,541"
05/28/2019,12.75,13,12.52,12.58,"15,46,93,493"
05/29/2019,12.47,12.83,12.34,12.66,"17,95,29,592"
05/30/2019,12.58,12.82,12.47,12.55,"11,88,97,135"
05/31/2019,12.34,12.66,12.27,12.34,"15,61,00,943"
06-03-2019,12.37,12.45,11.8,11.93,"19,59,66,141"
06-04-2019,12.07,12.93,11.97,12.91,"20,71,12,791"
06-05-2019,13.25,13.42,12.79,13.11,"20,26,61,391"
06-06-2019,13.63,14.07,13.45,13.73,"30,36,32,267"
06-07-2019,13.67,14.06,13.57,13.63,"24,00,52,939"
06-10-2019,14.02,14.46,13.93,14.19,"15,87,75,593"
06-11-2019,14.61,14.73,14.23,14.47,"17,48,03,092"
06-12-2019,14.86,14.89,13.93,13.95,"22,79,63,090"
06/13/2019,14.03,14.33,13.83,14.26,"12,25,23,895"
06/14/2019,14.08,14.44,14.03,14.33,"11,15,01,025"
06/17/2019,14.37,15.13,14.28,15,"18,47,51,992"
06/18/2019,15.25,15.65,14.84,14.98,"19,07,36,842"
06/19/2019,15.01,15.18,14.74,15.1,"9,86,27,021"
06/20/2019,14.87,15.13,14.42,14.64,"17,79,51,892"
06/21/2019,14.41,14.81,14.37,14.79,"12,30,31,150"
06/24/2019,14.88,15.06,14.73,14.91,"8,62,61,561"
06/25/2019,14.96,15.02,14.63,14.65,"9,27,31,061"
06/26/2019,14.69,15.15,14.54,14.62,"12,76,08,114"
06/27/2019,14.63,14.86,14.49,14.86,"9,50,95,646"
06/28/2019,14.73,15.01,14.72,14.9,"10,27,70,755"
07-01-2019,15.35,15.54,15.09,15.14,"12,35,69,455"
07-02-2019,15.26,15.28,14.81,14.97,"13,88,85,414"
07-03-2019,15.96,16.1,15.63,15.66,"21,30,17,256"
07-05-2019,15.64,15.7,15.39,15.54,"10,59,86,065"
07-08-2019,15.42,15.48,15.24,15.36,"8,82,08,126"
07-09-2019,15.26,15.4,15.15,15.34,"9,28,62,521"
07-10-2019,15.61,15.93,15.54,15.93,"13,71,86,034"
07-11-2019,15.88,16.1,15.72,15.91,"11,27,16,445"
07-12-2019,15.98,16.36,15.98,16.34,"13,80,07,809"
07/15/2019,16.53,16.96,16.32,16.9,"16,50,01,343"
07/16/2019,16.62,16.9,16.53,16.83,"12,22,34,830"
07/17/2019,17.04,17.22,16.89,16.99,"14,64,70,899"
07/18/2019,17,17.05,16.79,16.9,"7,14,67,242"
07/19/2019,17.05,17.33,16.97,17.21,"10,57,26,145"
07/22/2019,17.25,17.48,16.95,17.05,"10,26,94,090"
07/23/2019,17.11,17.37,16.97,17.34,"7,53,46,812"
07/24/2019,17.28,17.74,17.21,17.66,"16,60,92,593"
07/25/2019,15.57,15.63,15.04,15.25,"33,62,73,705"
07/26/2019,15.13,15.35,14.82,15.2,"15,04,15,493"
07/29/2019,15.14,15.73,15.07,15.72,"13,90,99,974"
07/30/2019,15.53,16.22,15.48,16.15,"12,16,35,205"
07/31/2019,16.2,16.45,15.78,16.11,"13,76,73,114"
08-01-2019,16.18,16.3,15.45,15.59,"12,38,92,735"
08-02-2019,15.42,15.75,15.28,15.62,"9,20,47,211"
08-05-2019,15.31,15.42,15.05,15.22,"10,54,24,180"
08-06-2019,15.46,15.5,15.05,15.38,"8,34,62,996"
08-07-2019,15.1,15.57,15.05,15.56,"7,16,47,497"
08-08-2019,15.63,15.99,15.51,15.89,"7,91,15,232"
