Date,AAPL,AMZN,BA,GOOG,IBM,MGM,SP500,T,TSLA
2019-01-02,39.48,76.96,323.81,52.29,110.04,25.19,2510.03,22.31,20.67
2019-01-03,35.55,75.01,310.9,50.8,107.85,24.7,2447.89,22.34,20.02
2019-01-04,37.07,78.77,327.08,53.54,112.06,25.77,2531.94,22.91,21.18
2019-01-07,36.98,81.48,328.11,53.42,112.85,26.51,2549.69,23.33,22.33
2019-01-08,37.69,82.83,340.53,53.81,114.46,27.21,2574.41,23.62,22.36
2019-01-09,38.33,82.97,343.83,53.73,115.28,27.61,2584.96,22.73,22.57
2019-01-10,38.45,82.81,352.61,53.52,116.33,28.0,2596.64,22.96,23.0
2019-01-11,38.07,82.03,352.9,52.86,116.01,28.0,2596.26,23.31,23.15
2019-01-14,37.5,80.86,350.36,52.23,114.99,27.4,2582.61,23.12,22.29
2019-01-15,38.27,83.73,352.24,53.86,116.27,27.34,2610.3,23.11,22.96
2019-01-16,38.74,84.19,352.06,54.05,116.17,27.48,2616.1,23.08,23.07
2019-01-17,38.97,84.66,359.09,54.5,116.71,27.74,2635.96,23.14,23.15
2019-01-18,39.21,84.81,364.73,54.91,118.27,28.56,2670.71,23.38,20.15
2019-01-22,38.33,81.61,357.9,53.53,117.03,27.87,2632.9,23.09,19.93
2019-01-23,38.48,82.0,358.61,53.78,126.93,27.81,2638.7,23.33,19.17
2019-01-24,38.18,82.75,358.27,53.7,126.59,27.89,2642.33,23.11,19.43
2019-01-25,39.44,83.53,364.2,54.55,127.96,28.7,2664.76,23.15,19.8
2019-01-28,39.08,81.89,362.97,53.5,128.25,28.46,2643.85,23.16,19.76
2019-01-29,38.67,79.69,364.91,53.03,128.31,28.36,2640.0,23.18,19.83
2019-01-30,41.31,83.52,387.72,54.45,128.35,28.99,2681.05,22.18,20.58
2019-01-31,41.61,85.94,385.62,55.82,128.39,29.44,2704.1,22.7,20.47
2019-02-01,41.63,81.31,387.43,55.54,128.09,29.75,2706.53,22.66,20.81
2019-02-04,42.81,81.67,397.0,56.64,129.13,29.55,2724.87,22.36,20.86
2019-02-05,43.55,82.94,410.18,57.3,129.47,29.51,2737.7,22.38,21.42
2019-02-06,43.56,82.01,411.11,55.76,130.21,29.61,2731.61,22.32,21.15
2019-02-07,42.74,80.72,405.17,54.94,127.22,28.9,2706.05,22.24,20.5
2019-02-08,42.6,79.41,404.91,54.75,127.71,28.97,2707.88,22.32,20.39
2019-02-11,42.36,79.55,403.95,54.75,127.98,28.99,2709.8,22.44,20.86
2019-02-12,42.72,81.9,410.72,56.07,129.95,28.87,2744.73,22.51,20.79
2019-02-13,42.55,82.0,410.58,56.01,131.35,29.23,2753.03,22.53,20.54
2019-02-14,42.7,81.13,409.82,56.08,130.36,27.37,2745.73,22.5,20.25
2019-02-15,42.61,80.4,417.97,55.68,131.84,28.21,2775.6,23.01,20.53
2019-02-19,42.73,81.38,416.26,55.93,132.48,28.47,2779.76,23.13,20.38
2019-02-20,43.01,81.11,421.55,55.69,131.81,28.81,2784.7,23.3,20.17
2019-02-21,42.77,80.97,417.58,54.85,131.66,28.35,2774.88,23.28,19.42
2019-02-22,43.24,81.58,424.05,55.52,133.01,27.71,2792.67,23.52,19.65
2019-02-25,43.56,81.65,426.87,55.47,133.21,27.7,2796.11,23.51,19.92
2019-02-26,43.58,81.82,426.77,55.76,133.46,27.68,2793.9,23.58,19.86
2019-02-27,43.72,82.05,435.44,55.8,132.93,27.16,2792.38,23.46,20.98
2019-02-28,43.29,81.99,439.96,56.0,131.94,26.75,2784.49,23.5,21.33
2019-03-01,43.74,83.59,440.62,57.05,132.96,26.98,2803.69,23.27,19.65
2019-03-04,43.96,84.81,432.69,57.39,132.22,26.84,2792.81,22.64,19.02
2019-03-05,43.88,84.62,430.12,58.1,131.7,26.89,2789.65,22.62,18.44
2019-03-06,43.63,83.45,424.46,57.89,130.84,26.97,2771.45,22.51,18.42
2019-03-07,43.13,81.3,422.56,57.17,129.29,26.45,2748.93,22.59,18.44
2019-03-08,43.23,81.04,422.54,57.12,129.03,26.5,2743.07,22.63,18.94
2019-03-11,44.73,83.53,400.01,58.79,131.54,26.57,2783.3,22.82,19.39
2019-03-12,45.23,83.66,375.41,59.66,132.08,26.61,2791.52,23.13,18.89
2019-03-13,45.43,84.54,377.14,59.67,132.35,26.57,2810.92,22.87,19.26
2019-03-14,45.93,84.31,373.3,59.28,132.57,26.45,2808.48,22.87,19.33
2019-03-15,46.53,85.62,378.99,59.22,133.18,26.02,2822.48,23.16,18.36
2019-03-18,47.01,87.11,372.28,59.21,133.92,26.25,2832.94,23.26,17.97
2019-03-19,46.63,88.09,373.43,59.94,134.19,26.57,2832.57,23.17,17.83
2019-03-20,47.04,89.86,376.16,61.2,133.34,26.25,2824.23,23.04,18.24
2019-03-21,48.77,90.96,372.7,61.58,135.1,26.9,2854.88,23.46,18.27
