Date,Open,High,Low,Close,Shares Traded,Turnover(₹ Cr)
01-Jan-18,10990.45,10998.2,10884.85,10897.75,280255426,10064.06
02-Jan-18,10941.6,10959,10854.45,10899.3,360492746,12449.1
03-Jan-18,10942.45,10968.95,10894.4,10910.05,338608508,12932.12
04-Jan-18,10938.3,10990.5,10907.9,10982.15,389091952,13751.1
05-Jan-18,11015.05,11056.65,11004.8,11051.25,423432093,15598.21
08-Jan-18,11084,11127.8,11082,11120.55,323211782,13548.72
09-Jan-18,11142.35,11155.05,11088.55,11125,378713598,14580
10-Jan-18,11140.85,11143.85,11076.8,11117.45,337237167,13931.99
11-Jan-18,11121.9,11148.2,11092.2,11132.4,282863925,12740.48
12-Jan-18,11165.05,11173.4,11067.6,11159.1,325389855,14917.22
15-Jan-18,11196.15,11255.7,11192.1,11207.75,296441491,14266.74
16-Jan-18,11229.6,11229.95,11127.6,11142.8,374414462,16345.67
17-Jan-18,11144.75,11246.15,11086.8,11232.75,423295208,18228.12
18-Jan-18,11316.85,11329.4,11190.9,11234.5,499437945,22119.67
19-Jan-18,11246.2,11328.25,11208.8,11315.75,345296798,15057.82
22-Jan-18,11308,11399.6,11302.65,11391.2,358043949,17912.11
23-Jan-18,11422.95,11515.75,11420,11506.65,486725145,21299.59
24-Jan-18,11489.05,11528.4,11456.95,11497.45,509266824,22630.31
25-Jan-18,11509.7,11509.7,11414.75,11459.05,651824123,26662
29-Jan-18,11474.3,11552.8,11471.8,11505.45,396135002,20062.87
30-Jan-18,11494.95,11494.95,11408.5,11424.6,370817898,16806.61
31-Jan-18,11393.75,11430.85,11338.85,11393.55,430982837,19107.69
01-Feb-18,11414.3,11483,11232.05,11385.15,497349398,22726.99
02-Feb-18,11300.85,11316.3,11087.8,11111.2,547115606,22768.62
05-Feb-18,10951.25,11060.45,10929.4,11023.85,439821754,18471.88
06-Feb-18,10630.25,10944.15,10610.75,10851.65,501977947,20875.3
07-Feb-18,10969.2,10977.6,10814.35,10844.7,441988232,18178.74
08-Feb-18,10887.1,11017.75,10851.85,10958.95,413051747,16842.99
09-Feb-18,10787.95,10871.35,10771.85,10846.1,368031837,14499.36
12-Feb-18,10916.15,10960.35,10884.15,10945.15,425753702,15505.96
14-Feb-18,10994.85,10998.5,10864,10908.15,481060019,17437.1
15-Feb-18,10945,11013.8,10898.9,10932.05,519827703,16630.02
16-Feb-18,10984.05,11000.8,10809.35,10831.35,486366602,15466.36
19-Feb-18,10866.85,10867.25,10670.65,10748.35,459038291,14584.84
20-Feb-18,10761.05,10805.2,10725.5,10740,461178937,14299.45
21-Feb-18,10806.05,10806.35,10722.3,10765.5,425541321,16822.37
22-Feb-18,10725.3,10755.4,10705.05,10737.35,557979122,22925.17
23-Feb-18,10766.25,10866.7,10755.1,10857.85,398057793,16651.08
26-Feb-18,10899.05,10963.45,10893.5,10953.8,356566208,14133.8
27-Feb-18,10986.55,11004.25,10905.4,10922.75,527268571,15593.48
28-Feb-18,10855.1,10903.25,10826.9,10861.4,700317465,22407.71
01-Mar-18,10850.7,10899.6,10808.55,10820,435135129,14332.56
05-Mar-18,10788.25,10788.5,10676.15,10714.6,410024455,14670.83
06-Mar-18,10779.95,10802.3,10570.6,10603.1,406858292,15993.73
07-Mar-18,10586.05,10600,10487.85,10501.4,462668017,16256.49
08-Mar-18,10566.05,10605.7,10476.45,10578,431537945,15677.66
09-Mar-18,10610.6,10637.45,10548.4,10564.55,379762567,13588.41
12-Mar-18,10642.65,10759.3,10635.15,10747.65,412334540,14593.88
13-Mar-18,10719.05,10816,10710.75,10772.05,534054740,28719.17
14-Mar-18,10734.45,10769.05,10685.6,10760,408496159,13529.98
15-Mar-18,10754.95,10775.95,10701.35,10716.05,349048310,12200.79
16-Mar-18,10700.75,10701.75,10541.45,10556.2,573959782,24020.57
19-Mar-18,10578.45,10587.05,10425.1,10444.05,425237389,15021.17
20-Mar-18,10398.7,10507.45,10396.4,10478.15,384532030,14487.39
21-Mar-18,10536.2,10585.95,10488.8,10511.75,362479240,14529.47
22-Mar-18,10522.9,10564.55,10461.5,10470.4,373226878,14718.89
23-Mar-18,10318.55,10380.9,10301.95,10357.6,490494903,18516.51
26-Mar-18,10351.95,10511.05,10324.45,10497.55,453075728,16800.79
